x1,x2,x3,x4,x5,y
2000,0.5,90,0,5,4.641
2000,1,30,0,5,0.314
2000,1,50,0,5,0.808
2000,1,70,0,5,1.994
2000,1,90,0,5,5.034
2000,2,30,0,5,0.357
2000,2,50,0,5,0.893
2000,2,70,0,5,2.202
2000,2,90,0,5,5.563
2000,0,30,0.1,5,0.221
2000,0,50,0.1,5,0.586
2000,0,70,0.1,5,1.439
2000,0,90,0.1,5,3.524
2000,0.5,30,0.1,5,0.251
2000,0.5,50,0.1,5,0.66
2000,0.5,70,0.1,5,1.645
2000,0.5,90,0.1,5,4.11
2000,1,30,0.1,5,0.275
2000,1,50,0.1,5,0.717
2000,1,70,0.1,5,1.783
2000,1,90,0.1,5,4.526
2000,2,30,0.1,5,0.323
2000,2,50,0.1,5,0.812
2000,2,70,0.1,5,2.014
2000,2,90,0.1,5,5.153
2000,0,30,0.2,5,0.182
2000,0,50,0.2,5,0.488
2000,0,70,0.2,5,1.203
2000,0,90,0.2,5,2.958
2000,0.5,30,0.2,5,0.211
2000,0.5,50,0.2,5,0.564
2000,0.5,70,0.2,5,1.405
2000,0.5,90,0.2,5,3.57
2000,1,30,0.2,5,0.234
2000,1,50,0.2,5,0.615
2000,1,70,0.2,5,1.553
2000,1,90,0.2,5,3.932
2000,2,30,0.2,5,0.277
2000,2,50,0.2,5,0.705
2000,2,70,0.2,5,1.778
2000,2,90,0.2,5,4.577
2000,0,30,0.3,5,0.148
2000,0,50,0.3,5,0.403
2000,0,70,0.3,5,0.985
2000,0,90,0.3,5,2.431
2000,0.5,30,0.3,5,0.174
2000,0.5,50,0.3,5,0.469
2000,0.5,70,0.3,5,1.186
2000,0.5,90,0.3,5,3.038
2000,1,30,0.3,5,0.196
2000,1,50,0.3,5,0.521
2000,1,70,0.3,5,1.316
2000,1,90,0.3,5,3.397
2000,2,30,0.3,5,0.234
2000,2,50,0.3,5,0.605
2000,2,70,0.3,5,1.536
2000,2,90,0.3,5,3.995
2000,0,30,0.4,5,0.118
